측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20231113,도심권,중구,21,16,0.021,0.0135,0.39,0.0028
20231113,도심권,종로구,23,15,0.0263,0.0115,0.41,0.0028
20231113,도심권,용산구,26,14,0.0233,0.0135,0.45,0.0024
20231113,서북권,은평구,26,14,0.0211,0.0137,0.32,0.0033
20231113,서북권,서대문구,22,15,0.0246,0.0134,0.31,0.0022
20231113,서북권,마포구,27,17,0.0171,0.0201,0.44,0.0022
20231113,동북권,광진구,23,13,0.0212,0.0205,0.53,0.0019
20231113,동북권,성동구,24,14,0.0194,0.0127,0.31,0.0018
20231113,동북권,중랑구,24,16,0.0169,0.0204,0.43,0.0023
20231113,동북권,동대문구,25,13,0.025,0.0133,0.45,0.0028
20231113,동북권,성북구,23,13,0.0208,0.0166,0.39,0.0024
20231113,동북권,도봉구,27,14,0.0275,0.0118,0.34,0.0023
20231113,동북권,강북구,24,16,0.0253,0.0117,0.43,0.0021
20231113,동북권,노원구,28,16,0.0172,0.0211,0.45,0.0027
20231113,서남권,강서구,27,12,0.0219,0.0154,0.41,0.0027
20231113,서남권,구로구,24,12,0.0181,0.0127,0.31,0.003
20231113,서남권,영등포구,24,16,0.0196,0.0184,0.42,0.0025
20231113,서남권,동작구,26,15,0.0235,0.0167,0.36,0.0023
20231113,서남권,관악구,27,14,0.022,0.0171,0.42,0.0024
20231113,서남권,금천구,24,15,0.0218,0.0177,0.44,0.0024
20231113,서남권,양천구,27,14,0.0209,0.0194,0.44,0.0028
20231113,동남권,강남구,24,14,0.0246,0.0142,0.36,0.0029
20231113,동남권,서초구,33,21,0.0206,0.012,0.34,0.0019
20231113,동남권,송파구,27,16,0.0248,0.0166,0.43,0.0024
20231113,동남권,강동구,26,12,0.0153,0.0237,0.56,0.0035
20231112,도심권,중구,16,11,0.0286,0.0087,0.34,0.0027
20231112,도심권,종로구,18,12,0.0327,0.0083,0.38,0.0027
20231112,도심권,용산구,20,11,0.0291,0.0098,0.4,0.0023
20231112,서북권,은평구,19,10,0.0279,0.0096,0.26,0.0031
20231112,서북권,서대문구,18,12,0.0309,0.0094,0.28,0.0024
20231112,서북권,마포구,20,12,0.0283,0.0128,0.37,0.0022
20231112,동북권,광진구,18,10,0.0316,0.0106,0.41,0.0017
20231112,동북권,성동구,18,11,0.0286,0.0069,0.27,0.0017
20231112,동북권,중랑구,18,12,0.0276,0.011,0.34,0.0023
20231112,동북권,동대문구,20,10,0.0325,0.0083,0.38,0.0026
20231112,동북권,성북구,18,9,0.0301,0.0075,0.29,0.0021
20231112,동북권,도봉구,18,11,0.0358,0.006,0.23,0.0021
20231112,동북권,강북구,19,12,0.0342,0.0065,0.37,0.0021
20231112,동북권,노원구,21,13,0.0296,0.0096,0.35,0.0026
20231112,서남권,강서구,19,8,0.0297,0.0108,0.36,0.0024
20231112,서남권,구로구,16,7,0.025,0.0084,0.27,0.0026
20231112,서남권,영등포구,17,10,0.0313,0.01,0.36,0.0023
20231112,서남권,동작구,19,11,0.0325,0.011,0.3,0.0022
20231112,서남권,관악구,21,11,0.0309,0.0113,0.38,0.0021
20231112,서남권,금천구,19,10,0.0282,0.0136,0.41,0.0021
20231112,서남권,양천구,20,10,0.0294,0.0138,0.38,0.0025
20231112,동남권,강남구,18,11,0.0322,0.009,0.31,0.0029
20231112,동남권,서초구,21,15,0.0285,0.0068,0.27,0.0018
20231112,동남권,송파구,21,12,0.033,0.011,0.37,0.0023
20231112,동남권,강동구,17,6,0.0287,0.0104,0.44,0.0032
20231111,도심권,중구,15,10,0.0192,0.0151,0.35,0.0029
20231111,도심권,종로구,18,11,0.0252,0.013,0.38,0.0028
20231111,도심권,용산구,22,11,0.0212,0.0162,0.41,0.0024
20231111,서북권,은평구,18,9,0.0228,0.0122,0.27,0.0031
20231111,서북권,서대문구,17,11,0.0239,0.0134,0.35,0.0026
20231111,서북권,마포구,20,11,0.0208,0.0169,0.38,0.0024
20231111,동북권,광진구,19,9,0.0238,0.0162,0.39,0.0019
20231111,동북권,성동구,19,10,0.0212,0.0126,0.29,0.0021
20231111,동북권,중랑구,17,12,0.0207,0.0152,0.35,0.0024
20231111,동북권,동대문구,19,9,0.0245,0.0139,0.39,0.0026
20231111,동북권,성북구,16,7,0.0231,0.0115,0.3,0.002
20231111,동북권,도봉구,17,9,0.0301,0.0085,0.19,0.0021
20231111,동북권,강북구,17,9,0.0293,0.0077,0.35,0.0021
20231111,동북권,노원구,21,12,0.0251,0.0106,0.35,0.0026
20231111,서남권,강서구,20,9,0.0245,0.0136,0.36,0.0026
20231111,서남권,구로구,18,9,0.0198,0.0112,0.27,0.0027
20231111,서남권,영등포구,18,11,0.0232,0.0154,0.38,0.0024
20231111,서남권,동작구,20,11,0.0236,0.0171,0.32,0.0024
20231111,서남권,관악구,22,11,0.0228,0.0171,0.39,0.0023
20231111,서남권,금천구,19,10,0.0206,0.0186,0.4,0.0023
20231111,서남권,양천구,20,11,0.0236,0.0166,0.38,0.0027
20231111,동남권,강남구,18,10,0.024,0.0153,0.34,0.003
20231111,동남권,서초구,24,14,0.0184,0.0155,0.3,0.0019
20231111,동남권,송파구,21,12,0.0243,0.0172,0.39,0.0024
20231111,동남권,강동구,20,7,0.0211,0.0157,0.43,0.0031
20231110,도심권,중구,13,9,0.0272,0.0089,0.32,0.0027
20231110,도심권,종로구,17,11,0.0294,0.0094,0.36,0.0029
20231110,도심권,용산구,17,9,0.0272,0.0098,0.37,0.0023
20231110,서북권,은평구,15,7,0.0265,0.0094,0.31,0.0028
20231110,서북권,서대문구,15,10,0.0298,0.0087,0.29,0.0017
20231110,서북권,마포구,18,10,0.0265,0.0122,0.35,0.0024
20231110,동북권,광진구,17,9,0.0282,0.0126,0.36,0.0021
20231110,동북권,성동구,16,9,0.0236,0.0111,0.28,0.0021
20231110,동북권,중랑구,16,10,0.0261,0.0101,0.32,0.0022
20231110,동북권,동대문구,16,8,0.029,0.0098,0.38,0.0027
20231110,동북권,성북구,14,7,0.0269,0.0104,0.3,0.0023
20231110,동북권,도봉구,15,8,0.0353,0.0052,0.14,0.0023
20231110,동북권,강북구,15,9,0.0347,0.0049,0.32,0.0021
20231110,동북권,노원구,18,11,0.0293,0.0083,0.33,0.0024
20231110,서남권,강서구,17,7,0.0294,0.0097,0.33,0.0023
20231110,서남권,구로구,13,7,0.0239,0.0078,0.25,0.0024
20231110,서남권,영등포구,16,9,0.0286,0.0111,0.35,0.0023
20231110,서남권,동작구,18,10,0.03,0.0111,0.29,0.0023
20231110,서남권,관악구,19,9,0.0292,0.0111,0.35,0.0024
20231110,서남권,금천구,16,9,0.0269,0.0134,0.4,0.0022
20231110,서남권,양천구,17,9,0.0288,0.0122,0.34,0.0026
20231110,동남권,강남구,17,10,0.0285,0.0115,0.31,0.0029
20231110,동남권,서초구,21,10,0.0249,0.0089,0.28,0.002
20231110,동남권,송파구,20,11,0.0277,0.0145,0.37,0.0023
20231110,동남권,강동구,15,6,0.0281,0.0099,0.37,0.0026
20231109,도심권,중구,25,17,0.0125,0.0377,0.64,0.0035
20231109,도심권,종로구,28,16,0.0142,0.0351,0.7,0.0043
20231109,도심권,용산구,27,16,0.014,0.0351,0.61,0.0033
20231109,서북권,은평구,25,13,0.0175,0.0287,0.61,0.0029
20231109,서북권,서대문구,28,19,0.0152,0.034,0.68,0.0027
20231109,서북권,마포구,29,16,0.0147,0.0358,0.66,0.003
20231109,동북권,광진구,26,13,0.0179,0.0329,0.56,0.0025
20231109,동북권,성동구,30,16,0.0152,0.0264,0.48,0.0029
20231109,동북권,중랑구,24,15,0.015,0.0315,0.49,0.0026
20231109,동북권,동대문구,30,16,0.015,0.0367,0.67,0.0035
20231109,동북권,성북구,31,16,0.0129,0.036,0.62,0.003
20231109,동북권,도봉구,31,18,0.016,0.0323,0.55,0.0026
20231109,동북권,강북구,26,15,0.0178,0.0284,0.52,0.0025
20231109,동북권,노원구,28,16,0.0128,0.0333,0.63,0.0032
20231109,서남권,강서구,31,15,0.0176,0.0328,0.68,0.0034
20231109,서남권,구로구,32,18,0.0206,0.024,0.49,0.0026
20231109,서남권,영등포구,29,18,0.0153,0.0343,0.68,0.0031
20231109,서남권,동작구,28,16,0.02,0.0331,0.55,0.0029
20231109,서남권,관악구,31,16,0.0186,0.0331,0.66,0.0031
20231109,서남권,금천구,29,15,0.0212,0.0326,0.57,0.003
20231109,서남권,양천구,32,16,0.017,0.0374,0.68,0.0034
20231109,동남권,강남구,26,15,0.0125,0.033,0.47,0.0034
20231109,동남권,서초구,43,21,0.0129,0.0305,0.52,0.0022
20231109,동남권,송파구,29,15,0.02,0.0309,0.55,0.0029
20231109,동남권,강동구,29,13,0.0158,0.0313,0.54,0.0028
20231108,도심권,중구,19,12,0.011,0.0349,0.54,0.0028
20231108,도심권,종로구,23,12,0.0116,0.033,0.61,0.0032
20231108,도심권,용산구,27,12,0.0075,0.0384,0.61,0.003
20231108,서북권,은평구,16,8,0.0155,0.0247,0.56,0.0027
20231108,서북권,서대문구,18,10,0.0172,0.0257,0.55,0.0028
