GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
0000174842744479418300000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,1103,1,일반건축물,2,일반건축물대방,인천효성동초등학교,,1,부속건축물,,206.3,206.3,,,21,철근콘크리트구조,10000,교육연구시설,10101,초등학교,6,문교사회용,0,1,,,,2023-09-14
0000174911694479450600000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,1102,1,일반건축물,2,일반건축물대방,인천효성동초등학교,,1,부속건축물,0,37.5,37.5,0,0,12,블록구조,10000,교육연구시설,10100,학교,6,문교사회용,0,1,,,,2023-09-14
1997174817834478805400000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,1101,1,일반건축물,2,일반건축물대방,인천효성동초등학교,,0,주건축물,,473.28,2366.4,,,21,철근콘크리트구조,10000,교육연구시설,10101,초등학교,6,문교사회용,0,5,,,1997-08-30,2023-09-14
1997174870814479304000000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,1100,1,일반건축물,2,일반건축물대방,인천효성동초등학교,,0,주건축물,,1887.58,5927.05,,,21,철근콘크리트구조,10000,교육연구시설,10101,초등학교,6,문교사회용,0,4,1,1997-08-30,1997-08-30,2023-09-14
1995174798264479345600000000,2824510100100010011,2824510100,인천광역시 계양구 효성동,1,일반,1-11,2043,2,집합건축물,3,표제부,원익그린맨션,나동,0,주건축물,0,114.91,574.55,0,0,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1995-05-31,1995-12-26,2023-09-14
1995174797864479235900000000,2824510100100010011,2824510100,인천광역시 계양구 효성동,1,일반,1-11,2042,2,집합건축물,3,표제부,원익그린맨션,가동,0,주건축물,0,121.26,610.02,0,0,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1995-05-31,1995-12-26,2023-09-14
1995174796774479083800000000,2824510100100010012,2824510100,인천광역시 계양구 효성동,1,일반,1-12,2044,2,집합건축물,3,표제부,원익그린맨션,,0,주건축물,332,150.73,640.72,154.15,45.4,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1995-05-31,1995-12-26,2023-09-14
1995174796464478923600000000,2824510100100010013,2824510100,인천광역시 계양구 효성동,1,일반,1-13,2045,2,집합건축물,3,표제부,원익그린맨션,,0,주건축물,316,146.21,629.82,159.24,46.27,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1995-05-31,1995-12-26,2023-09-14
1995174795234478759600000000,2824510100100010014,2824510100,인천광역시 계양구 효성동,1,일반,1-14,2046,2,집합건축물,3,표제부,원익그린맨션,,0,주건축물,327,166.44,655.26,160.28,50.9,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1995-05-31,1995-12-26,2023-09-14
2002174945104480190600000000,2824510100100010017,2824510100,인천광역시 계양구 효성동,1,일반,1-17,2047,2,집합건축물,3,표제부,그린파크,2동,0,주건축물,166,96.64,390.64,235.32,58.21,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,13.6,5,0,2002-05-28,2002-10-18,2023-09-14
2002174941984480071700000000,2824510100100010029,2824510100,인천광역시 계양구 효성동,1,일반,1-29,2048,2,집합건축물,3,표제부,그린파크,1동,0,주건축물,164,97.24,399.88,243.83,59.29,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,13.2,5,0,2002-05-28,2002-10-18,2023-09-14
