GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2018166348314430297800000000,2814010100100010001,2814010100,인천광역시 동구 만석동,1,일반,1-1,100185182,1,일반건축물,2,일반건축물대방,,2동,0,주건축물,0,467.26,659.87,0,0,31,일반철골구조,20000,자동차관련시설,20006,정비공장,2,상업용,11.1,2,0,2017-10-11,2018-01-24,2023-09-14
2017166323934430208300000000,2814010100100010001,2814010100,인천광역시 동구 만석동,1,일반,1-1,100184842,1,일반건축물,2,일반건축물대방,,1동,0,주건축물,0,524.45,727.2,0,0,31,일반철골구조,17000,공장,17999,기타공장,4,공업용,11.7,2,0,2016-12-29,2017-08-25,2023-09-14
1995166426644431616100000000,2814010100100010010,2814010100,인천광역시 동구 만석동,1,일반,1-10,186,1,일반건축물,2,일반건축물대방,,,0,주건축물,9852.8,3877.47,7203.96,73.12,39.35,31,일반철골구조,17000,공장,17000,공장,7,기타,15.3,2,0,1994-04-04,1995-04-28,2023-09-14
2010166438224431031200000000,2814010100100010011,2814010100,인천광역시 동구 만석동,1,일반,1-11,100177460,1,일반건축물,2,일반건축물대방,,B동,1,부속건축물,,4.32,4.32,,,33,강파이프구조,17000,공장,17301,물품 제조공장,4,공업용,3.15,1,,2009-07-03,2010-05-06,2023-09-14
2009166423214431126800000000,2814010100100010011,2814010100,인천광역시 동구 만석동,1,일반,1-11,100173724,1,일반건축물,2,일반건축물대방,,A동,0,주건축물,2144,498.42,498.42,23.25,23.25,31,일반철골구조,17000,공장,17100,일반공장,4,공업용,12,1,0,2008-07-03,2009-01-20,2023-09-14
2008166430774430192800000000,2814010100100010012,2814010100,인천광역시 동구 만석동,1,일반,1-12,100173621,1,일반건축물,2,일반건축물대방,,B동,0,주건축물,0,31,31,0,0,31,일반철골구조,22000,분뇨.쓰레기처리시설,22999,기타분뇨쓰레기처리시설,7,기타,3.4,1,0,2008-10-17,2008-12-19,2023-09-14
2008166436724430071400000000,2814010100100010012,2814010100,인천광역시 동구 만석동,1,일반,1-12,100173620,1,일반건축물,2,일반건축물대방,,A동,0,주건축물,0,263.2,263.2,0,0,31,일반철골구조,22000,분뇨.쓰레기처리시설,22003,폐기물재활용시설,7,기타,9.4,1,0,2008-10-17,2008-12-19,2023-09-14
2007166425804429409300000000,2814010100100010013,2814010100,인천광역시 동구 만석동,1,일반,1-13,211,1,일반건축물,2,일반건축물대방,,다동,0,주건축물,0,485.42,444.69,0,0,32,경량철골구조,18000,창고시설,18001,창고,7,기타,8.8,1,0,2007-02-06,2007-06-28,2023-09-14
2007166385974429260200000000,2814010100100010013,2814010100,인천광역시 동구 만석동,1,일반,1-13,210,1,일반건축물,2,일반건축물대방,,나동,0,주건축물,0,485.42,444.69,0,0,33,강파이프구조,18000,창고시설,18001,창고,7,기타,8.8,1,0,2007-02-06,2007-06-28,2023-09-14
2007166392194429091700000000,2814010100100010013,2814010100,인천광역시 동구 만석동,1,일반,1-13,209,1,일반건축물,2,일반건축물대방,,가동,0,주건축물,0,336.14,491.64,0,0,31,일반철골구조,18000,창고시설,18001,창고,7,기타,9.25,2,0,2007-02-06,2007-06-28,2023-09-14
2009166301104429730600000000,2814010100100010019,2814010100,인천광역시 동구 만석동,1,일반,1-19,100176999,1,일반건축물,2,일반건축물대방,,,0,주건축물,1063.5,326.83,326.83,30.73,30.73,31,일반철골구조,17000,공장,17100,일반공장,4,공업용,11.86,1,0,2008-05-20,2009-10-05,2023-09-14
2007166389784430046400000000,2814010100100010024,2814010100,인천광역시 동구 만석동,1,일반,1-24,213,1,일반건축물,2,일반건축물대방,B동,,0,주건축물,0,485.42,444.69,0,0,33,강파이프구조,18000,창고시설,18001,창고,7,기타,8.8,1,0,2007-02-06,2007-11-06,2023-09-14
2007166370974429679300000000,2814010100100010024,2814010100,인천광역시 동구 만석동,1,일반,1-24,214,1,일반건축물,2,일반건축물대방,C동,,0,주건축물,0,448.82,444.69,0,0,33,강파이프구조,18000,창고시설,18001,창고,7,기타,8.8,1,0,2007-02-06,2007-11-06,2023-09-14
2007166403574429814000000000,2814010100100010024,2814010100,인천광역시 동구 만석동,1,일반,1-24,212,1,일반건축물,2,일반건축물대방,A동,,0,주건축물,0,534.02,444.69,0,0,33,강파이프구조,18000,창고시설,18001,창고,7,기타,8.8,1,0,2007-02-06,2007-11-06,2023-09-14
2009166306524429588900000000,2814010100100010025,2814010100,인천광역시 동구 만석동,1,일반,1-25,100177079,1,일반건축물,2,일반건축물대방,,,0,주건축물,818,471.76,852.52,104.22,57.67,31,일반철골구조,17000,공장,17100,일반공장,4,공업용,12,2,0,2008-05-20,2009-11-03,2023-09-14
2010166316104429438500000000,2814010100100010026,2814010100,인천광역시 동구 만석동,1,일반,1-26,100177500,1,일반건축물,2,일반건축물대방,,,0,주건축물,1309,915.23,961.06,73.42,69.92,31,일반철골구조,18000,창고시설,18101,일반창고,7,기타,8.95,2,0,2010-02-12,2010-05-25,2023-09-14
