GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1985168963694368234300000000,2818510100100520000,2818510100,인천광역시 연수구 옥련동,1,일반,52,489,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,48.39,48.39,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1985-06-05,2023-09-14
1985168928914368581400000000,2818510100100530013,2818510100,인천광역시 연수구 옥련동,1,일반,53-13,500,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,64.38,64.38,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1985-06-05,2023-09-14
1985168980954368709700000000,2818510100100530017,2818510100,인천광역시 연수구 옥련동,1,일반,53-17,501,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,83.8,94.2,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,1,,1985-06-29,2023-09-14
1975168762934369313000000000,2818510100100610003,2818510100,인천광역시 연수구 옥련동,1,일반,61-3,513,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,62.8,62.8,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,,2023-09-14
0000168783944368743200000000,2818510100100610009,2818510100,인천광역시 연수구 옥련동,1,일반,61-9,518,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,59.5,59.5,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,,2023-09-14
1975168759934369483200000000,2818510100100630020,2818510100,인천광역시 연수구 옥련동,1,일반,63-20,529,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,121.71,121.71,0,0,11,벽돌구조,11000,노유자시설,11102,영유아보육시설,6,문교사회용,0,1,0,1974-11-07,1975-02-01,2023-09-14
1994168692824369856400000000,2818510100100640007,2818510100,인천광역시 연수구 옥련동,1,일반,64-7,531,1,일반건축물,2,일반건축물대방,,,0,주건축물,262,154.76,494.48,158.94,59.06,21,철근콘크리트구조,04000,제2종근린생활시설,04499,기타사무소,2,상업용,10.5,3,1,1994-03-28,1994-08-31,2023-09-14
1994168668264369051300000000,2818510100100640013,2818510100,인천광역시 연수구 옥련동,1,일반,64-13,533,1,일반건축물,2,일반건축물대방,,,0,주건축물,248,135.5,385.26,108.82,54.64,21,철근콘크리트구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,10.45,2,1,1993-10-06,1994-02-08,2023-09-14
1985168672934369240400000000,2818510100100640018,2818510100,인천광역시 연수구 옥련동,1,일반,64-18,534,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,35.46,35.46,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1985-12-20,2023-09-14
1978168629484368235300000000,2818510100100710001,2818510100,인천광역시 연수구 옥련동,1,일반,71-1,558,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.37,50.37,0,0,11,벽돌구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168633364368062800000000,2818510100100710004,2818510100,인천광역시 연수구 옥련동,1,일반,71-4,559,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.37,50.37,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168619514368136400000000,2818510100100710005,2818510100,인천광역시 연수구 옥련동,1,일반,71-5,561,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,51.3,51.3,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168628284368127300000000,2818510100100710005,2818510100,인천광역시 연수구 옥련동,1,일반,71-5,560,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,51.3,51.3,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168603424367996200000000,2818510100100710006,2818510100,인천광역시 연수구 옥련동,1,일반,71-6,563,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.37,50.37,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168608464368029800000000,2818510100100710006,2818510100,인천광역시 연수구 옥련동,1,일반,71-6,562,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.37,50.37,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168596614367886500000000,2818510100100710007,2818510100,인천광역시 연수구 옥련동,1,일반,71-7,564,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.37,50.37,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
1978168591864367816900000000,2818510100100710007,2818510100,인천광역시 연수구 옥련동,1,일반,71-7,565,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.37,50.37,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1978-07-28,1978-12-20,2023-09-14
