GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2015150378534493257700000000,2872031021100010001,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,1-1,100191758,1,일반건축물,2,일반건축물대방,,주건축물제1동,0,주건축물,1275,307.06,553.51,43.41,24.08,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.35,3,0,2005-08-19,2015-10-02,2023-09-14
2008327016524501116300000000,2872031021100010003,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,1-3,100172130,1,일반건축물,2,일반건축물대방,,,0,주건축물,539,195.52,349.45,64.83,36.27,21,철근콘크리트구조,03000,제1종근린생활시설,03002,휴게음식점,2,상업용,10.85,3,0,2006-03-03,2008-05-27,2023-09-14
2011327041964501212200000000,2872031021100010004,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,1-4,100178812,1,일반건축물,2,일반건축물대방,,주건축물제1동,0,주건축물,316,124.46,206.87,65.47,39.39,31,일반철골구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,7.8,2,0,2010-03-26,2011-08-10,2023-09-14
2011327050144500982300000000,2872031021100010030,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,1-30,100178809,1,일반건축물,2,일반건축물대방,,A동,0,주건축물,0,65.79,65.79,0,0,31,일반철골구조,03000,제1종근린생활시설,03002,휴게음식점,2,상업용,3,1,0,2010-03-26,2011-08-08,2023-09-14
2011327053584500873600000000,2872031021100010030,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,1-30,100178810,1,일반건축물,2,일반건축물대방,,B동,0,주건축물,0,226.25,220.82,0,0,31,일반철골구조,01000,단독주택,01003,다가구주택,1,주거용,6.492,2,0,2010-03-26,2011-08-08,2023-09-14
2011327022954500722800000000,2872031021100010030,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,1-30,100178811,1,일반건축물,2,일반건축물대방,,C동,0,주건축물,0,20.27,20.27,0,0,31,일반철골구조,03000,제1종근린생활시설,03002,휴게음식점,2,상업용,2.4,1,0,2010-03-26,2011-08-08,2023-09-14
2017150060174492212500000000,2872031021100100005,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,10-5,100200139,1,일반건축물,2,일반건축물대방,,주건축물제1동,0,주건축물,524,209.21,199.58,38.09,39.93,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,7.45,2,0,2017-04-12,2017-12-27,2023-09-14
2010326758344500250400000000,2872031021100150005,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,15-5,100176750,1,일반건축물,2,일반건축물대방,,1,0,주건축물,996,249.08,396.38,39.79,25,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,7.8,2,0,2008-12-30,2010-08-31,2023-09-14
2010326748084500029100000000,2872031021100150006,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,15-6,100176857,1,일반건축물,2,일반건축물대방,,,0,주건축물,825,267.89,438.5,53.15,32.47,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,7.8,2,0,2008-12-30,2010-09-13,2023-09-14
2012326714594500153100000000,2872031021100150016,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,15-16,100180779,1,일반건축물,2,일반건축물대방,,,0,주건축물,744,129.21,107.81,14.49,17.37,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,4.65,1,0,2009-12-31,2012-07-24,2023-09-14
2001326656394499692000000000,2872031021100160000,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,16,569,1,일반건축물,2,일반건축물대방,,,0,주건축물,330,63.97,63.97,19.38,19.38,32,경량철골구조,01000,단독주택,01001,단독주택,1,주거용,0,1,,,2001-09-11,2023-09-14
1997326545994498908400000000,2872031021100270000,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,27,570,1,일반건축물,2,일반건축물대방,,,0,주건축물,595,109.2,109.2,18.35,18.35,33,강파이프구조,21000,동.식물 관련시설,21100,축사,3,농수산용,0,1,0,1997-01-16,1997-06-27,2023-09-14
1988326679254496860300000000,2872031021100270005,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,27-5,571,1,일반건축물,2,일반건축물대방,,,0,주건축물,117659,224,224,.19,.19,51,일반목구조,18000,창고시설,18999,기타창고시설,7,기타,0,1,0,,1988-05-03,2023-09-14
2005326362864497503800000000,2872031021100310001,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,31-1,572,1,일반건축물,2,일반건축물대방,,,0,주건축물,512,145.54,167.48,32.71,28.43,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,9.3,2,0,,2005-11-21,2023-09-14
2001326379784498072500000000,2872031021100330000,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,33,573,1,일반건축물,2,일반건축물대방,,가동,0,주건축물,0,73.5,97.53,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,,2001-11-26,2023-09-14
2001326380544497918100000000,2872031021100330000,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,33,574,1,일반건축물,2,일반건축물대방,,나동,0,주건축물,0,99,99,0,0,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,0,1,0,,2001-11-26,2023-09-14
2005326354714497288000000000,2872031021100330003,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,33-3,575,1,일반건축물,2,일반건축물대방,,,0,주건축물,483,143.08,347.02,71.85,29.62,32,경량철골구조,03000,제1종근린생활시설,03000,제1종근린생활시설,2,상업용,0,3,0,,2005-04-13,2023-09-14
2017149791754491577000000000,2872031021100410001,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,41-1,100200059,1,일반건축물,2,일반건축물대방,,,0,주건축물,270,58.92,58.92,21.82,21.82,32,경량철골구조,01000,단독주택,01001,단독주택,1,주거용,3.8,1,0,2016-11-18,2017-12-22,2023-09-14
2008149947744492317800000000,2872031021100430000,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,43,100172048,1,일반건축물,2,일반건축물대방,,주건축물제1동,0,주건축물,966,189.9,385.08,39.863354,19.658385,21,철근콘크리트구조,15000,숙박시설,15999,기타숙박시설,2,상업용,9.5,3,0,2006-09-11,2008-05-14,2023-09-14
2014149657314492909500000000,2872031021100460000,2872031021,인천광역시 옹진군 북도면 시도리,1,일반,46,100186498,1,일반건축물,2,일반건축물대방,,,0,주건축물,696,275.92,692.45,99.49,39.64,21,철근콘크리트구조,15000,숙박시설,15002,생활숙박시설,2,상업용,15.8,3,0,2013-12-23,2014-08-11,2023-09-14
