GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1985166416174413125600000000,2811010100100010001,2811010100,인천광역시 중구 중앙동1가,1,일반,1-1,591,1,일반건축물,2,일반건축물대방,,,0,주건축물,86,69.3,263.35,236.51,80.58,11,벽돌구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,9.7,3,1,,1985-04-30,2023-09-14
1992166410724413026700000000,2811010100100010002,2811010100,인천광역시 중구 중앙동1가,1,일반,1-2,592,1,일반건축물,2,일반건축물대방,,,0,주건축물,167.4,134.81,593.64,278.39,80.53,21,철근콘크리트구조,04000,제2종근린생활시설,04402,사무소,2,상업용,13.7,4,1,1992-06-10,1992-11-16,2023-09-14
1997166400024413118800000000,2811010100100020000,2811010100,인천광역시 중구 중앙동1가,1,일반,2,593,1,일반건축물,2,일반건축물대방,,,0,주건축물,320.7,265.76,1275.67,370.16,82.87,21,철근콘크리트구조,04000,제2종근린생활시설,04402,사무소,2,상업용,19.2,5,1,1995-10-05,1997-07-01,2023-09-14
2000166391294412834900000000,2811010100100030001,2811010100,인천광역시 중구 중앙동1가,1,일반,3-1,594,1,일반건축물,2,일반건축물대방,,,0,주건축물,354.3,276.3,1597,371.09,77.98,21,철근콘크리트구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,18.9,5,2,1996-04-03,2000-04-21,2023-09-14
1998166374184412791300000000,2811010100100030002,2811010100,인천광역시 중구 중앙동1가,1,일반,3-2,595,1,일반건축물,2,일반건축물대방,,,0,주건축물,132.2,98.8,389.22,224.21,74.74,21,철근콘크리트구조,11000,노유자시설,11201,노인복지시설,6,문교사회용,11.25,3,1,1997-12-08,1998-06-11,2023-09-14
1941166386194412712100000000,2811010100100030003,2811010100,인천광역시 중구 중앙동1가,1,일반,3-3,596,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,119,119,0,0,11,벽돌구조,04000,제2종근린생활시설,04005,제조업소,2,상업용,0,1,0,,,2023-09-14
2012166379654412898200000000,2811010100100040000,2811010100,인천광역시 중구 중앙동1가,1,일반,4,100201104,1,일반건축물,2,일반건축물대방,,,0,주건축물,158.7,104.4,203.28,128.09,65.78,21,철근콘크리트구조,05000,문화및집회시설,05499,기타전시장,6,문교사회용,8,2,0,2012-07-31,2012-12-24,2023-09-14
1970166395264413254500000000,2811010100100060001,2811010100,인천광역시 중구 중앙동1가,1,일반,6-1,598,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,80.89,161.78,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,0,1970-08-13,1970-12-01,2023-09-14
1993166384204413189800000000,2811010100100080000,2811010100,인천광역시 중구 중앙동1가,1,일반,8,601,1,일반건축물,2,일반건축물대방,,,0,주건축물,102.5,80.51,288.03,235.64,78.55,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,9.6,3,1,1993-09-10,1993-12-28,2023-09-14
0000166363524412856900000000,2811010100100090001,2811010100,인천광역시 중구 중앙동1가,1,일반,9-1,602,1,일반건축물,2,일반건축물대방,인천개항박물관 부속 수장고,,0,주건축물,92.6,75.6,75.6,81.6415,81.6415,11,벽돌구조,18000,창고시설,18000,창고시설,6,문교사회용,7.5,1,0,,,2023-09-14
0000166363374413010900000000,2811010100100090002,2811010100,인천광역시 중구 중앙동1가,1,일반,9-2,603,1,일반건축물,2,일반건축물대방,,1동,0,주건축물,,330.57,403.3,,,13,석구조,05000,문화및집회시설,05401,박물관,6,문교사회용,0,2,0,,,2023-09-14
2010166349184413066900000000,2811010100100090002,2811010100,인천광역시 중구 중앙동1가,1,일반,9-2,100183114,1,일반건축물,2,일반건축물대방,,2동,0,주건축물,0,24.75,24.75,0,0,13,석구조,05000,문화및집회시설,05401,박물관,6,문교사회용,9,1,0,,2010-06-17,2023-09-14
1979166344364412990000000000,2811010100100090003,2811010100,인천광역시 중구 중앙동1가,1,일반,9-3,604,1,일반건축물,2,일반건축물대방,,,0,주건축물,59.5,42.98,128.94,216.71,72.24,11,벽돌구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,0,3,,1976-10-21,1979-09-17,2023-09-14
1969166338174413053300000000,2811010100100090006,2811010100,인천광역시 중구 중앙동1가,1,일반,9-6,606,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,54.21,148.72,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,3,0,1969-06-25,1969-09-13,2023-09-14
0000166383214413336500000000,2811010100100100002,2811010100,인천광역시 중구 중앙동1가,1,일반,10-2,608,1,일반건축물,2,일반건축물대방,,,0,주건축물,33.1,26.18,52.36,158.19,79.09,51,일반목구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,6.5,2,0,,,2023-09-14
1977166377494413272800000000,2811010100100100004,2811010100,인천광역시 중구 중앙동1가,1,일반,10-4,610,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,74.48,131.64,0,0,11,벽돌구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,0,2,1,1977-06-09,1977-12-14,2023-09-14
1985166373994413362000000000,2811010100100110001,2811010100,인천광역시 중구 중앙동1가,1,일반,11-1,611,1,일반건축물,2,일반건축물대방,,,0,주건축물,198.4,146.82,311.18,156.84,74,31,일반철골구조,04000,제2종근린생활시설,04402,사무소,2,상업용,10.6,3,0,1983-11-13,1985-05-03,2023-09-14
1971166358134413363200000000,2811010100100120001,2811010100,인천광역시 중구 중앙동1가,1,일반,12-1,613,1,일반건축물,2,일반건축물대방,,,0,주건축물,115.7,85.52,207.27,179.14,73.92,21,철근콘크리트구조,04000,제2종근린생활시설,04001,일반음식점,2,상업용,9.95,3,,1971-02-24,1971-06-18,2023-09-14
1989166366234413305800000000,2811010100100120002,2811010100,인천광역시 중구 중앙동1가,1,일반,12-2,614,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,69.42,117.66,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,,,2023-09-14
1995166351384413544900000000,2811010100100140001,2811010100,인천광역시 중구 중앙동1가,1,일반,14-1,615,1,일반건축물,2,일반건축물대방,,,0,주건축물,158.7,125.66,355.94,206.89,79.18,21,철근콘크리트구조,03000,제1종근린생활시설,03999,기타제1종근생활시설,2,상업용,10.3,3,1,1995-05-17,1995-05-25,2023-09-14
1994166359114413489300000000,2811010100100140003,2811010100,인천광역시 중구 중앙동1가,1,일반,14-3,616,1,일반건축물,2,일반건축물대방,,,0,주건축물,66.1,50.17,100.34,151.8,75.9,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,7.1,2,0,1994-03-29,1994-06-07,2023-09-14
1965166349834413409200000000,2811010100100150001,2811010100,인천광역시 중구 중앙동1가,1,일반,15-1,617,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,62,124,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1965-09-20,1965-12-29,2023-09-14
